timestamp,emotion_1,emotion_2
2025-07-24 12:16:07,none,none
2025-07-24 12:16:12,none,none
2025-07-24 12:16:17,none,none
2025-07-24 12:16:22,angry,none
2025-07-24 12:16:27,happy,none
2025-07-24 12:16:32,angry,sad
2025-07-24 12:16:37,sad,neutral
2025-07-24 12:16:42,sad,none
2025-07-24 12:16:47,sad,none
2025-07-24 12:16:52,sad,none
2025-07-24 12:16:57,Head Nodding,none
2025-07-24 12:17:02,Head Nodding,neutral
2025-07-24 12:17:07,happy,neutral
2025-07-24 12:17:13,neutral,happy
2025-07-24 12:17:18,angry,Drowsiness
2025-07-24 12:17:23,Head Nodding,none
2025-07-24 12:17:28,angry,happy
2025-07-24 12:17:33,neutral,happy
2025-07-24 12:17:38,neutral,happy
2025-07-24 12:17:43,neutral,Drowsiness
2025-07-24 12:17:48,neutral,happy
2025-07-24 12:17:53,neutral,happy
2025-07-24 12:17:58,angry,happy
2025-07-24 12:18:03,fear,happy
2025-07-24 12:18:08,happy,Drowsiness
2025-07-24 12:18:13,neutral,neutral
2025-07-24 12:18:18,sad,happy
2025-07-24 12:18:23,sad,happy
2025-07-24 12:18:29,sad,happy
2025-07-24 12:18:34,angry,happy
2025-07-24 12:18:39,happy,none
2025-07-24 12:18:44,sad,happy
2025-07-24 12:18:49,neutral,happy
2025-07-24 12:18:54,Head Nodding,Head Nodding
2025-07-24 12:18:59,Head Nodding,happy
2025-07-24 12:19:04,neutral,angry
2025-07-24 12:19:09,sad,happy
2025-07-24 12:19:14,happy,happy
2025-07-24 12:19:19,sad,none
2025-07-24 12:19:24,happy,none
2025-07-24 12:19:30,sad,happy
2025-07-24 12:19:35,Head Nodding,none
2025-07-24 12:19:40,Head Nodding,Head Nodding
2025-07-24 12:19:45,Head Nodding,none
2025-07-24 12:19:50,Head Nodding,Head Nodding
2025-07-24 12:19:55,happy,happy
2025-07-24 12:20:00,sad,angry
2025-07-24 12:20:05,angry,angry
2025-07-24 12:20:10,neutral,Head Nodding
2025-07-24 12:20:15,neutral,neutral
2025-07-24 12:20:20,neutral,neutral
2025-07-24 12:20:25,sad,neutral
2025-07-24 12:20:30,sad,angry
2025-07-24 12:20:35,neutral,neutral
2025-07-24 12:20:41,neutral,neutral
2025-07-24 12:20:46,sad,sad
2025-07-24 12:20:51,sad,Head Nodding
2025-07-24 12:20:56,Head Nodding,Head Nodding
2025-07-24 12:21:01,sad,Drowsiness
2025-07-24 12:21:06,sad,Drowsiness
2025-07-24 12:21:11,sad,Drowsiness
2025-07-24 12:21:16,sad,angry
2025-07-24 12:21:21,Head Nodding,Drowsiness
2025-07-24 12:21:26,sad,none
2025-07-24 12:21:31,neutral,Drowsiness
2025-07-24 12:21:36,Head Nodding,happy
2025-07-24 12:21:41,sad,neutral
2025-07-24 12:21:47,angry,none
2025-07-24 12:21:52,sad,none
2025-07-24 12:21:57,happy,happy
2025-07-24 12:22:02,sad,happy
2025-07-24 12:22:07,angry,happy
2025-07-24 12:22:12,angry,Drowsiness
2025-07-24 12:22:17,sad,Drowsiness
2025-07-24 12:22:22,Head Nodding,none
2025-07-24 12:22:27,sad,Drowsiness
2025-07-24 12:22:32,happy,none
2025-07-24 12:22:37,sad,happy
2025-07-24 12:22:42,angry,happy
2025-07-24 12:22:47,neutral,Drowsiness
2025-07-24 12:22:52,sad,Head Nodding
2025-07-24 12:22:57,sad,sad
2025-07-24 12:23:03,sad,sad
2025-07-24 12:23:08,angry,none
2025-07-24 12:23:13,neutral,neutral
2025-07-24 12:23:18,neutral,sad
2025-07-24 12:23:23,sad,happy
2025-07-24 12:23:28,neutral,happy
2025-07-24 12:23:33,neutral,happy
2025-07-24 12:23:38,Head Nodding,happy
2025-07-24 12:23:43,neutral,Drowsiness
2025-07-24 12:23:48,neutral,happy
2025-07-24 12:23:53,happy,angry
2025-07-24 12:23:58,happy,sad
2025-07-24 12:24:03,Drowsiness,sad
2025-07-24 12:24:09,Drowsiness,neutral
2025-07-24 12:24:14,Drowsiness,neutral
2025-07-24 12:24:19,Drowsiness,none
2025-07-24 12:24:24,happy,none
2025-07-24 12:24:29,sad,happy
2025-07-24 12:24:34,neutral,happy
2025-07-24 12:24:39,sad,angry
2025-07-24 12:24:44,sad,happy
2025-07-24 12:24:49,happy,sad
2025-07-24 12:24:54,fear,happy
2025-07-24 12:24:59,neutral,neutral
2025-07-24 12:25:04,sad,happy
2025-07-24 12:25:09,sad,Head Nodding
2025-07-24 12:25:14,neutral,happy
2025-07-24 12:25:19,neutral,happy
2025-07-24 12:25:25,neutral,Drowsiness
2025-07-24 12:25:30,Head Nodding,Drowsiness
2025-07-24 12:25:35,neutral,Drowsiness
2025-07-24 12:25:40,angry,Drowsiness
2025-07-24 12:25:45,sad,happy
2025-07-24 12:25:50,neutral,Drowsiness
2025-07-24 12:25:55,angry,happy
2025-07-24 12:26:00,angry,neutral
