timestamp,emotion_1,emotion_2,true_emotion1,true_emotion2
2025-07-16 14:41:22,neutral,none,neutral,none
2025-07-16 14:41:28,neutral,none,neutral,none
2025-07-16 14:41:33,sad,none,neutral,none
2025-07-16 14:41:38,neutral,sad,neutral,sad
2025-07-16 14:41:43,none,none,none,none
2025-07-16 14:41:48,sad,neutral,sad,neutral
2025-07-16 14:41:53,neutral,sad,neutral,sad
2025-07-16 14:41:58,sad,sad,sad,sad
2025-07-16 14:42:03,sad,sad,neutral,sad
2025-07-16 14:42:08,neutral,sad,neutral,neutral
2025-07-16 14:42:13,sad,angry,sad,angry
2025-07-16 14:42:18,neutral,sad,neutral,happy
2025-07-16 14:42:23,sad,neutral,sad,neutral
2025-07-16 14:42:28,sad,sad,neutral,neutral
2025-07-16 14:42:33,neutral,sad,neutral,sad
2025-07-16 14:42:38,sad,neutral,sad,neutral
2025-07-16 14:42:43,Drowsiness,happy,neutral,happy
2025-07-16 14:42:48,Drowsiness,Drowsiness,neutral,neutral
2025-07-16 14:42:53,Drowsiness,neutral,neutral,neutral
2025-07-16 14:42:59,sad,neutral,happy,neutral
2025-07-16 14:43:04,Drowsiness,neutral,sad,neutral
2025-07-16 14:43:09,sad,neutral,sad,neutral
2025-07-16 14:43:14,sad,neutral,sad,neutral
2025-07-16 14:43:19,sad,sad,Drowsiness,neutral
2025-07-16 14:43:24,sad,sad,,Drowsiness,neutral
2025-07-16 14:43:29,happy,happy,happy,happy
2025-07-16 14:43:34,Drowsiness,happy,Drowsiness,happy
2025-07-16 14:43:39,sad,Yawning,sad,surprise
2025-07-16 14:43:44,happy,sad,happy,sad
2025-07-16 14:43:49,sad,sad,sad,sad
2025-07-16 14:43:54,happy,sad,happy,sad
2025-07-16 14:43:59,angry,sad,angry,sad
2025-07-16 14:44:04,sad,Drowsiness,sad,sad
2025-07-16 14:44:10,happy,Drowsiness,happy,neutral
2025-07-16 14:44:15,sad,sad,neutral,sad
2025-07-16 14:44:20,Drowsiness,sad,sad,sad
2025-07-16 14:44:25,sad,happy,sad,neutral
2025-07-16 14:44:30,sad,sad,sad,sad
2025-07-16 14:44:35,sad,none,sad,none
2025-07-16 14:44:40,neutral,none,neutral,none
2025-07-16 14:44:45,sad,neutral,sad,neutral
2025-07-16 14:44:50,neutral,neutral,neutral,neutral
2025-07-16 14:44:55,neutral,neutral,neutral,neutral
2025-07-16 14:45:00,sad,Drowsiness,neutral,neutral
2025-07-16 14:45:05,neutral,sad,neutral,sad
2025-07-16 14:45:10,neutral,angry,neutral,angry
2025-07-16 14:45:16,sad,sad,sad,sad
2025-07-16 14:45:21,sad,none,sad,none
2025-07-16 14:45:26,neutral,none,neutral,none
