timestamp,emotion_1,emotion_2
2025-07-16 15:00:16,angry,none
2025-07-16 15:00:21,sad,angry
2025-07-16 15:00:26,neutral,angry
2025-07-16 15:00:31,neutral,none
2025-07-16 15:00:36,neutral,Drowsiness
2025-07-16 15:00:41,sad,sad
2025-07-16 15:00:46,neutral,neutral
2025-07-16 15:00:51,sad,angry
2025-07-16 15:00:56,sad,neutral
2025-07-16 15:01:01,neutral,sad
2025-07-16 15:01:06,Head Nodding,Head Nodding
2025-07-16 15:01:12,sad,happy
2025-07-16 15:01:17,sad,neutral
2025-07-16 15:01:22,sad,Head Nodding
2025-07-16 15:01:27,neutral,sad
2025-07-16 15:01:32,neutral,neutral
2025-07-16 15:01:37,sad,none
2025-07-16 15:01:42,surprise,sad
2025-07-16 15:01:47,neutral,Head Nodding
2025-07-16 15:01:52,angry,neutral
2025-07-16 15:01:57,sad,neutral
2025-07-16 15:02:02,angry,sad
2025-07-16 15:02:07,sad,none
2025-07-16 15:02:12,neutral,none
2025-07-16 15:02:18,happy,neutral
2025-07-16 15:02:23,neutral,happy
2025-07-16 15:02:28,Head Nodding,happy
2025-07-16 15:02:33,happy,none
2025-07-16 15:02:38,angry,fear
2025-07-16 15:02:43,angry,happy
2025-07-16 15:02:48,angry,neutral
2025-07-16 15:02:53,sad,happy
2025-07-16 15:02:58,angry,angry
2025-07-16 15:03:03,sad,neutral
2025-07-16 15:03:08,angry,neutral
2025-07-16 15:03:13,angry,happy
2025-07-16 15:03:19,neutral,sad
2025-07-16 15:03:24,angry,sad
2025-07-16 15:03:29,sad,sad
2025-07-16 15:03:34,angry,sad
2025-07-16 15:03:39,neutral,sad
2025-07-16 15:03:44,neutral,sad
2025-07-16 15:03:49,neutral,sad
2025-07-16 15:03:54,fear,sad
2025-07-16 15:03:59,happy,happy
2025-07-16 15:04:04,neutral,neutral
2025-07-16 15:04:09,sad,sad
2025-07-16 15:04:14,neutral,neutral
2025-07-16 15:04:20,sad,neutral
2025-07-16 15:04:25,sad,neutral
2025-07-16 15:04:30,Head Nodding,happy
2025-07-16 15:04:35,sad,neutral
2025-07-16 15:04:40,sad,neutral
2025-07-16 15:04:45,neutral,sad
2025-07-16 15:04:50,neutral,sad
2025-07-16 15:04:55,neutral,angry
2025-07-16 15:05:00,sad,angry
2025-07-16 15:05:05,sad,angry
2025-07-16 15:05:10,Head Nodding,sad
